"Had a great vacation at Darjeeling with my wife, enjoyed a lot. The scenes of the hills the severing cold and the stay at Sterling Resort was my best ever experience of my life. The view of hills from the resort was awesome, the staff were very caring, the service at the resort was awesome. Will never forget the vacation and stay at Sterling Resort.",Date of stay: December 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
"It was a great trip at Darjeeling with family. It was our first trip at Hill Station with my family and enjoyed alot, the views were awesome and the stay at Sterling Resort was awesome the people there were very caring and helpful and the staff were very polite and helpful loved the fooding was great. Loved the services of the stay. Will plan again for next trip at Darjeeling and stay at Sterling Resort.",Date of stay: December 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
I have stayed here for two days during our trip but this two days spoiled our trip.. there is no cordination between the staffs. I have asked for the packed breakfast one day before as i have my flight to catch but the next day when i have asked they said they don't have any idea about this. Waste of money & time  Better choose some other place,Date of stay: December 2021,"<span class=""ui_bubble_rating bubble_10""></span>"
"The hotel was good but the approach road was very bad. Due to which public conveyance is big issue. But the best part is cleaniness, kids play area, rooms and specially the staff behaviour. I found very good staff like Sanjay, Amuna who were in restaurant. Thx",Date of stay: December 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
"Loved the stay Nice property. What I liked 1.  Great view of the Kanchanjungha from their grounds. Please note, most rooms don't have direct view of the Kanchanjungha. 2. The food is excellent. Tried Indian,  Chinese, local cuisines. Quality and quantity are both quite good. 3. Best part. The staff are always smiling and are very helpful.",Date of stay: November 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
"Being a member I must mention after long time I hv enjoyed the holidays for what membership was purchased. This time it,s really worth visiting to Darjeeling Resort.   Speciallly Mr. Jiwan Pradhan took care of all our needs and hospitality of entire team is remarkable.   I would definitely cherish our trip.",Date of stay: November 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
Food over here was very delicious. Chef Sunder specially made sure that the food is served perfectly according to our taste buds and gave personalized touch to everything we ordered. The staff out here were also very polite. Pramod one of the kitchen staff guided us with a lot of things during our stay and was very helpful. Highly recommend to contact Pramod the kitchen staff and chef Sunder during your stay at Strelling,Date of stay: November 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
"Restaurant services were very good especially from Pramod  and Ashish. They were very humble and co operative. Birthday cake made by Ashish was very delicious. Entire services from staff was good, they were cooperative.",Date of stay: November 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
"We had visited Resorts with family, this place is good for family vacations.  We realy enjoyed staying with sterlling Darjeeling.  Our kid had a wonderfull time staying & he wanted to come back to same place.  Thanks to the resort team who takan a good care of my family.",Date of stay: October 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
"We had a memorable stay as in terms of amenities in room, facilities at the resort and hospitality by staff, view of Mt Kanchenjanga we would rank them all highly satisfactory. Located at a peaceful Ghoom (hill amidst the clouds), 6kms away from the hustle bustle of Darjeeling. The oldest monastery is just outside the resort gate, 15mins walk through the town road is Ghoom railway station.  The only let down was internet service in room and through out the resort is very poor and needs immediate attention by management as we had better connectivity on mobile data while video calling and mild office work requires much more than 0.2mbps speed that we got on average.  We also found the food average in taste and variety which requires little attention by management too.  Special…",Date of stay: November 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
