We had a fantastic stay at Cecil Oberoi. The Cecil Oberoi always exceeds the hospitality standards. Our experience has always been awesome right from the check-in till check-out. They make all guest feel special. I had been staying at this hotel whenever I visit Shimla. Looking forward for next visit again to Shimla and staying at the Cecil.,Date of stay: December 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
"Oberoi Cecil is the place to stay if you visit Shimla and want to explore mall road. It is located at the end of the Mall road. We stayed in the luxury suite. The rooms are spacious and beautifully done.  Food in the restaurant was nice. However, the stand out factor for me was the service. Service in all aspects stands out and adds to the overall experience. Would especially like to thank Ankita for all the assistance. Wow experience.",Date of stay: December 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
We had an awesome experience at the Cecil Oberoi Hotel. The warmth and the welcome that we received is something that can not be matched with any other property. We would like to  give a special mention to Deepika and Ankita from the guest relations. Thank you for helping us out with everything. We would really like to thank the chef Mr. Rajkumar for treating us with scrumptious Jain food and was always eager to cook delicous food. Special mention for Kartik for being such a wonderful host at the restaurant. Thank You Oberoi Cecil for making our stay more wonderful.,Date of stay: December 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
"Fantastic location, very close to city centre, beautiful  vintage interiors, fantastic food and excellent excellent hospitality...  Special mention of Chef Rajkumar, abhi and kartik in the restaurant, Ankita and Deepika at the reception..",Date of stay: December 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
"The entire experience of Oberoi Cecil is awesome . My fifth visit and I would still want to come back every year . Everyone was great but I remember few names  1. Mr Rajkumar the head chef -His food is awesome. One of the  main reason for coming back is his food. 2. Reyansh ,Sahil and Rohit were exemplary in their service at the restaurant 3. Mami the housekeeping manager was so concerned about our Little one she got the entire room baby proofed and also helped with bottle sanitizing  4. Deepika the front office manager was very helpful . Her team mate Anjita(forgetting the name) was so helpful and playing so gently with the kid.  5. Guard Mr Daljit was also very helpful.",Date of stay: December 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
This was my second visit and as expected you guys are amazing and bring smiles. Raj Kumar ji the sous chef at his best hospitality and his super recommendations at the dinning. A very nice and humble person. 5 stars to Raj Kumar ji and his team. Kshitij also one person whose friendly attitude and service was something that I will always remember. Deepak ji at the barb queue was very nice and indeed a very innovative and good photographer. Ankita at the check-in was sweet and cordial. Was surprisingly very glad to know that she had a national level high jumping back ground..Hope to be back Cecil team !! Last but not the least.. Saurabh at the bar. You HAVE to try his amazing cocktails.. this chap has some talent !!,Date of stay: December 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
"The best hotel to stay in shimla , homely ( staff and accomodation ) simply loved my stat   Starting with Ankita ( check in staff ). We came in by 9 in nite , it was freezing for us , before rushing into checking she made us comfortable with a drink, felt so good and welcomed. Then slowly at our place did checking formalities .   Moving forward the room was decorated for our honeymoon spl. Not sure of the names . Ankita made us feel so spl. Then heading to dinner Sonam greeted and served us with a smile.  The spread at breakfast is apt and perfect. The chef makes every dish perfect with his hidden ingredients. We tried to guess so many ingredients but to our surprise something healthy and secret is always there in the dish. Hats off to the chef . Soups are out of the world !!!!…",Date of stay: December 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
This is my second stay in the hotel and Certainly my rating has improved and loved the Christmas stay in the hotel . Especially Deepika Kukreja mam made sure that we were taken care of .The hotel's old walnut furniture is lovely and decoration is awesome.Love the Christmas decor  .I gave this 5/5 as I really felt that our Christmas holidays are well spent here .Best destination for winter visit .Kudos to team and every one  come here just once in your lifetime without thinking about your pocket .,Date of stay: December 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
"Excellent!!  The word describes it all. Fantastic staff and services, both live up to the expectations and the location is an added advantage. A special mention for the detailing done for the food.  In a nutshell, when in Shimla look no beyond than this.  KUDOS, keep up the good work.",Date of stay: December 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
The Oberoi Cecil is heritage property but they are maintaining that really well. I will appreciate there cleaning staff they are doing there job really well. All the staff was really courteous we enjoyed the stay. They try to solve all the query and questions. Cecil is the property where u should stay in Shimla. Had a great time food was really fresh and tasty. Due to Christmas 🎄 they decorated the hotel and maximum of the decore was done by their team. Really wonderful that shows their love to this property. From our side 10/10.😍,Date of stay: December 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
"One of the best properties I’ve ever stayed at.  We were welcomed with a turmeric drink. This is not too far from the city, the concierge helped us with great places to visit such as Shimla Brewery, toy train to Tara Devi etc. the games room was fun while it was so cold outside we got to play a few games of Table Tennis. The nights were so cold they set up a bone fire outside the hotel which was amazing. The rooms are royal and cozy and not to mention the breakfast spread is AMAZING.   Head Chef Dilip ji was a phenomenal host who made us fresh french toast, dosa and museli. One could tell the freshness of the produce and meat. Dilip ji was so gracious and made our breakfast enjoyable and memorable. We just couldn’t help over eating which led us to skip our lunches and have light…",Date of stay: November 2021,"<span class=""ui_bubble_rating bubble_50""></span>"
